Frequency Log(Hz), Gain(dB), Phase(deg)
1.00050859443331,-1.42976658891065,-31.8810466511086
1.00452986836623,-1.46072150926875,-32.1859342862811
1.01049281533991,-1.49882504244119,-32.5471953561115
1.01442310896834,-1.52195284178302,-32.7766670684163
1.02025265262906,-1.53263076711635,-33.0848161930929
1.02409599171082,-1.55788448659648,-33.2533584301862
1.02979797053529,-1.61666858417575,-33.6810893218975
1.03542605554372,-1.65199168637851,-34.013032380106
1.03913799678944,-1.67530425775664,-34.2180891216115
1.04464709157421,-1.7107066058976,-34.5772140065851
1.05008717709257,-1.74811900531432,-34.9039404756427
1.05545996085643,-1.75911229903864,-35.2186945982081
1.06076708777737,-1.78911036986471,-35.4462249418047
1.06426948161344,-1.84233336781277,-35.7378390455328
1.06947067529924,-1.88070856221701,-36.0567537725395
1.07461031495166,-1.91638897659823,-36.3815213123287
1.07968984048093,-1.95436349995288,-36.7077375461819
1.08471064185598,-1.99140510750489,-36.9929620322766
1.08967406138753,-2.00179836510822,-37.3373799401146
1.09458139588228,-2.02627049878744,-37.5003422777333
1.09943389867669,-2.1001475851658,-37.9043619614994
1.10423278155846,-2.13590030909223,-38.199969263921
1.11054990358215,-2.18679391894742,-38.59624456718
1.11522816585992,-2.22398753716465,-38.8958180029452
1.11985657004199,-2.2654349135431,-39.2252737164871
1.12443616764674,-2.30359931549317,-39.52247835075
1.13046813241666,-2.3260585655036,-39.8962588955185
1.13493775487181,-2.34429133669716,-40.0070316855455
1.13936184557664,-2.42910840086127,-40.4603342432938
1.14519138923736,-2.47852160134019,-40.8422249163949
1.14951276302001,-2.51455054432824,-41.0973333152091
1.15520850999489,-2.56794704992366,-41.4701499785367
1.15943182835197,-2.60522487228532,-41.7259240181497
1.16499978259091,-2.65420430446827,-42.0819958926507
1.17049725450213,-2.70422777431554,-42.4084698213723
1.17457516692257,-2.72260020960905,-42.7348374328237
1.17995349549657,-2.73135630840231,-42.8785807916404
1.18526603246767,-2.80855489465821,-43.3695502105627
1.19051436802402,-2.83781278489188,-43.5732722894983
1.19440941190754,-2.92666793773716,-43.9540115659767
1.19954905155996,-2.97992334583633,-44.2958300136931
1.20462857708923,-3.02716819523821,-44.5891798728755
1.20964937846428,-3.0747708924751,-44.9069363177167
1.21461279799583,-3.12446926813976,-45.213502364276
1.21952013249058,-3.17197290085024,-45.4846952266415
1.22557733642336,-3.22934749906839,-45.890433175073
1.23036299897417,-3.29247043500884,-46.2551090838364
1.23509650067676,-3.34382860195891,-46.5511503323052
1.23977896632639,-3.39544903740822,-46.8627061160237
1.24556193435493,-3.45610581537615,-47.2298475172447
1.25013349742941,-3.50915853417177,-47.5197183614523
