Frequency Log(Hz), Gain (dB), Phase (deg)
1.00050859443331, -1.52560681433908, -31.8902984584549
1.00452986836623, -1.52736898511198, -31.9287001121656
1.01049281533991, -1.56414560252356, -32.1117060341202
1.01442310896834, -1.57619128985024, -32.1076064447477
1.02025265262906, -1.61050594089024, -32.463178080002
1.02409599171082, -1.65369377716549, -33.3434608618365
1.02979797053529, -1.6718720917031, -32.9472808200214
1.03542605554372, -1.70557593743583, -33.475165011206
1.03913799678944, -1.72275683304561, -33.655588508973
1.04464709157421, -1.75951269508988, -34.1603362859272
1.05008717709257, -1.80569533684758, -34.3117066146551
1.05545996085643, -1.86713412931632, -35.4004430223514
1.06076708777737, -1.87292215761152, -34.9307402138298
1.06426948161344, -1.92418999991465, -35.8422130981712
1.06947067529924, -1.92643969412645, -35.5611509129369
1.07461031495166, -1.95821627617564, -35.7197025465723
1.07968984048093, -2.00015594222609, -35.9263978831875
1.08471064185598, -2.07298240707107, -37.1927573948677
1.08967406138753, -2.10218321385246, -37.2967926718318
1.09458139588228, -2.12939646717862, -37.6692192628398
1.09943389867669, -2.14934592183785, -37.1575637397257
1.10423278155846, -2.17861798090385, -37.5733240043636
1.11054990358215, -2.22711854696673, -37.9176158776983
1.11522816585992, -2.26319686889246, -38.1888492993676
1.11985657004199, -2.3259113434318, -39.0464607842597
1.12443616764674, -2.34564926113353, -38.8524172379094
1.13046813241666, -2.42005236062891, -39.6965240931892
1.13493775487181, -2.43036886416263, -39.4926751085516
1.13936184557664, -2.46295043033189, -39.6724143157151
1.14519138923736, -2.49847999957748, -40.2163533237046
1.14951276302001, -2.55450339700245, -40.2631287344209
1.15520850999489, -2.62211602865891, -41.1763007261935
1.15943182835197, -2.63929641071393, -40.8719025511463
1.16499978259091, -2.71171566311804, -41.6831204481523
1.17049725450213, -2.73549578410109, -41.7018950416611
1.17457516692257, -2.75960746247291, -42.1467667925778
1.17995349549657, -2.82255662867637, -42.2478702643504
1.18526603246767, -2.8698665377427, -42.5064718664482
1.19051436802402, -2.92445947419591, -42.7199182263634
1.19440941190754, -2.97505737570251, -43.5005233081057
1.19954905155996, -3.01416634128973, -43.3631690462368
1.20462857708923, -3.07225302681157, -44.3393665452008
1.20964937846428, -3.15819804921193, -44.9667777802292
1.21461279799583, -3.20999504668248, -45.2909918704801
1.21952013249058, -3.26494661578374, -45.6848278410653
1.22557733642336, -3.32489992633538, -46.0364133936686
1.23036299897417, -3.37185064796643, -46.2542346642128
1.23509650067676, -3.41933732314222, -46.5771102664594
1.23977896632639, -3.44368782675831, -46.4063903209602
1.24556193435493, -3.50520486863772, -46.6648556196108
1.25013349742941, -3.57260390544375, -47.3416758061408
1.25465743918945, -3.63353825757751, -47.8060237172608
1.26024689191357, -3.69140689669069, -48.0945932122214
1.26466723014416, -3.67730083627341, -47.9406654788843
1.27013012584566, -3.74922854332738, -48.1055142085086
1.27552515773237, -3.82150182890584, -48.3765881017823
1.27979344252504, -3.86938136463311, -48.6529640283728
1.2850704756386, -3.97400806788301, -49.6175331868328
1.290284157484, -4.03880887313304, -49.9663869535133
1.29543599111043, -4.11179346843036, -50.4101725595094
1.29951390353087, -4.14077541155675, -50.4508120015813
1.30455803087107, -4.18162641878737, -50.5622123054373
1.3095442450218, -4.27817251876146, -51.2686897278613
1.31545310463232, -4.29691649877643, -50.7214874674457
1.32031647552102, -4.38164022732686, -51.4510671406523
1.3251259873748, -4.44681119013721, -52.0782697353135
1.32988282005496, -4.47663366929764, -51.7861404193627
1.33458811507258, -4.53383229296389, -52.2107207353619
1.34016799245342, -4.61526281327696, -52.4040384926709
1.34476374414257, -4.66296627910375, -52.6380746491397
1.35021521089153, -4.7986112908213, -53.767076421944
1.35470640377999, -4.85526205241611, -54.0036148617612
1.36003523728506, -4.9002959312441, -54.0567685735201
1.36529947727742, -4.92812310446595, -53.9776689570453
1.36963811957363, -5.03682581101684, -54.742285052421
1.37478791685446, -5.1197327900444, -55.1560213372398
1.37987736355889, -5.19412808937691, -55.5068735691473
1.38490785781722, -5.25976003062583, -55.7632131224888
1.38988074973025, -5.2648634529927, -55.4513759850487
1.39479734354427, -5.38976546025815, -56.2744266665017
1.39965889970444, -5.44155973022344, -56.3860184768097
1.40526277722244, -5.49163187195032, -56.2695154738736
1.4100092122469, -5.56016781222527, -56.7099481165132
1.41470433345528, -5.69163457839702, -57.491734076838
1.42011858233714, -5.75984077472366, -57.8171612967496
1.42470624276355, -5.82016924642223, -58.0117853856881
1.42999797293823, -5.8424953501427, -57.7173209886146
1.43522600059988, -5.98246486982687, -58.6767696684404
1.43965761539896, -6.04634893882365, -58.9089438566807
1.44477131850611, -6.12221118550513, -59.1632616419359
1.44982550917017, -6.14111567207511, -59.0921997900247
1.45482155666326, -6.23012004367974, -59.2642147596612
1.45976078353782, -6.28970501081877, -59.4031854808182
1.46533767534842, -6.41581122223603, -60.1258027237539
1.47015939239943, -6.45522530716907, -60.0276113868847
1.47492816403652, -6.56853155872567, -60.7479665348079
1.48031483131807, -6.65758344135121, -61.0658448854356
1.48497397389336, -6.68644577566306, -60.9498285774004
1.49023821388572, -6.7827738130552, -61.2841568811152
1.49479265468669, -6.88452509541231, -61.8145888391475
1.4999399087982, -6.91620726569671, -61.7039023119891
1.50502687157725, -6.97242368990966, -62.2535359237788
1.51005493910781, -7.11501244149704, -62.5108070174217
1.51502545953752, -7.13370607742193, -62.4750913892475
1.51993973524747, -7.26344940040782, -62.9243315595592
1.52479902490058, -7.34666602549706, -63.2275068671008
1.53020151383074, -7.37030403063026, -63.2455568400665
1.5349479488552, -7.52004309576708, -63.79300223272
1.54022640726599, -7.54225319784343, -63.7129659243156
1.5448651107184, -7.64572979996758, -63.9652179280443
1.5500251058573, -7.69689218329625, -64.1184432795236
1.55512451256866, -7.79572233937557, -64.332306352386
1.56016473720818, -7.93523723514031, -64.9921816747773
1.56514713772712, -8.01413075955096, -65.1532619537732
1.57007302586843, -8.05992419451398, -65.2396208518642
1.57494366923977, -8.17301421690517, -65.6248935771076
1.57976029327156, -8.24835096956441, -65.8310707545632
1.58505018183808, -8.33249569471043, -66.0284303175168
1.5897566100013, -8.362328638652, -66.0480948338725
1.59492684346739, -8.51231087307069, -66.4881401034323
1.60003624924587, -8.53017683503525, -66.5530269346261
1.60508624198251, -8.65381683104648, -66.8321303342614
1.61007818754001, -8.7473249903671, -67.0761886219533
1.61501340521553, -8.83984282423724, -67.2935637743296
1.61989316983361, -8.94435106485224, -67.6248314548038
1.62519833219451, -9.02532498056433, -67.8059967699071
1.62996560818555, -9.10046614813851, -67.9694545947223
1.6351498686622, -9.18358118789566, -68.1244226799935
1.63980972540548, -9.26396619327113, -68.3773646127026
1.64487847185577, -9.32465134199746, -68.4187121618653
1.64988874168836, -9.46364383242095, -68.8274856584707
1.65484186878394, -9.48447634421732, -69.0282613466865
1.66018162230465, -9.63219783083061, -69.197979516885
1.66501938301308, -9.67972764222308, -69.3355798836985
1.6698038473267, -9.80901501941709, -69.5846776063524
1.6749638424656, -9.90530199330336, -69.7925949410965
1.68006324917696, -9.9940983290462, -69.9815355498009
1.68510347381648, -10.0260586235034, -70.2252289245101
1.69008587433542, -10.1652754251926, -70.3208517845568
1.69501176247673, -10.2668543355884, -70.5300124456363
1.69988240584807, -10.3545697260583, -70.7013483040226
1.70509801427348, -10.4482310654273, -70.8876716902599
1.70985745348945, -10.5256624166788, -71.0312946993932
1.71495532535541, -10.5935660990616, -71.1589696281022
1.71999405056381, -10.7144495721414, -71.4044674155189
1.72497498585417, -10.807243091672, -71.5774384209485
1.7298994418124, -10.8935215097886, -71.7393565542916
1.73514099056307, -10.9731129390777, -71.908699436199
1.73995214182383, -11.051975068929, -71.9895801852451
1.74507446131105, -11.1541314927344, -72.2510438974802
1.75013706880281, -11.2631339554006, -72.4047860224115
1.75514134042424, -11.3533868699732, -72.5613989259939
1.7600886052705, -11.4443475742029, -72.7083657071618
1.76498014752576, -11.5313537415669, -72.8678433783248
1.77016066002954, -11.6162228940165, -73.1861509974961
1.77494067899635, -11.714777903207, -73.1730736380307
1.78000441085038, -11.8009014944961, -73.3306356742366
1.78500978106846, -11.8990058881893, -73.4743345461467
1.78995811962138, -11.9917877698196, -73.6209732862653
1.79485071152971, -12.0800365688699, -73.7630982589396
1.80000942972812, -12.1757219911739, -73.9106992012046
1.80510758930721, -12.2715625207497, -74.0562441111618
1.81014659559098, -12.3633631719265, -74.1968726516771
1.81512780554606, -12.4228955425951, -74.2622404253872
1.82005252997517, -12.5166792788512, -74.4944054187424
1.82492203558771, -12.6365753665737, -74.6590730715115
1.83003675088177, -12.7277114109002, -74.7560482139847
1.83509193030796, -12.8017425429895, -74.91671142792
1.84008894394226, -12.9215080741824, -75.0028823252752
1.84502911510461, -13.0126540398034, -75.1306471026653
1.84991372246247, -13.1038720127714, -75.2549528278788
1.85502646998311, -13.1717800050058, -75.3470858877147
1.86007972717137, -13.2919445020485, -75.5058306703947
1.86507486254075, -13.3879328370912, -75.6324262028014
1.87001319791935, -13.4805177648345, -75.7522232919806
1.87489601054955, -13.5732971609452, -75.8696555091316
1.87999121882621, -13.6413129190774, -76.0369239996787
1.8850273418788, -13.7751234698735, -76.3103128691647
1.89000573434571, -13.8578361009519, -76.2216896255218
1.89492770480642, -13.934931853624, -76.3293537992334
1.9000491613492, -14.0024730769491, -76.5340157631531
1.90511092589689, -14.1415297367745, -76.5609830000673
1.91011437388725, -14.2326334083809, -76.6694777581454
1.91506083375925, -14.2836449239236, -76.7645558468
1.91995158907023, -14.3873171986347, -77.0075104682129
1.92502828707863, -14.4885735290969, -77.1625579318563
1.93004632591551, -14.6017035000343, -77.1399679797421
1.93500704567687, -14.7101380589553, -77.2675058926325
1.9399117410542, -14.7899226126686, -77.3922882223491
1.94499126658347, -14.8984722022566, -77.3943577049134
1.95001206795852, -14.9909145676103, -77.4954287761032
1.95497548749007, -15.0853493692797, -77.5879447628717
1.96010457051244, -15.1685321420779, -77.9018327437999
1.96495461005625, -15.2843670882115, -77.8560497304086
1.96996785171291, -15.3324195156257, -77.9161333010293
1.97492388321071, -15.4337958479477, -78.0326819502153
1.98003579488607, -15.5498057713348, -78.2045849822162
1.98508823556581, -15.6466317806057, -78.2059306539451
1.9900825731001, -15.7326179346904, -78.3236709955514
1.9950201286837, -15.8467271447185, -78.3182229578817
1.99990217895395, -15.9387706704117, -78.4015498015267
2.00492995543451, -16.0347220289422, -78.4860798167876
2.01009782260517, -16.133310962309, -78.5712111605022
2.01500959721669, -16.227184984387, -78.6517667811765
2.02005958995333, -16.3245840154731, -78.755946799732
2.02505153551083, -16.3860007375723, -78.7355099461398
2.02998675318634, -16.474656582214, -78.8265779984468
2.03505311049555, -16.5774573739526, -78.9119227761134
2.04006104598262, -16.6706516596393, -78.9631566210656
2.04501189166446, -16.7862959486195, -79.1599977082697
2.05008717709257, -16.8626689885668, -79.1018891348892
2.05492566370242, -16.9555370871902, -79.3829476734965
2.06006320677741, -17.0292148345628, -79.3774379398128
2.06496658366022, -17.1440603553509, -79.4604489720787
2.06998738503527, -17.245244323094, -79.3718854952535
2.07495080456682, -17.3433557926523, -79.4374011223317
2.0800263724481, -17.435046120512, -79.5793424476381
2.08504330712074, -17.5301929372037, -79.6245359140295
2.09000294779621, -17.6385911073526, -79.7995954999309
2.09506909327424, -17.7249038887613, -79.7846699634957
2.1000768217873, -17.8051243460786, -79.9414322530801
2.10502746518715, -17.9412545665554, -79.7957900768263
2.10992231029099, -18.0009483402385, -79.9882404624728
2.11507303298386, -18.1123544085752, -80.1174225327781
2.1200100038828, -18.2105641096361, -80.0801325471784
2.12504314815352, -18.3038993203564, -80.0653113251238
2.13001862972146, -18.402761364878, -80.2768539010416
2.13493775487181, -18.4932779212969, -80.1711930888333
2.13994833382499, -18.6028906655621, -80.3321232082161
2.14504660027723, -18.689237099675, -80.2603668608604
2.14994254482836, -18.7824780975915, -80.3168449253575
