Frequency Log(Hz), Gain (dB), Phase (deg)
1.00050859443331, -1.28919768742734, -31.8765796548078
1.00452986836623, -1.31258611748789, -32.1512869438068
1.01049281533991, -1.34838053583557, -32.4716416607455
1.01442310896834, -1.37201769485666, -32.7140208211545
1.02025265262906, -1.41632538215516, -33.0453859168905
1.02409599171082, -1.43239464656249, -33.2911598113331
1.02979797053529, -1.46840295473125, -33.6238312965557
1.03542605554372, -1.50813769701434, -33.9761294547156
1.03913799678944, -1.53121347087156, -34.1963323324177
1.04464709157421, -1.56765188446786, -34.5231353393848
1.05008717709257, -1.60436621351923, -34.8530990025781
1.05545996085643, -1.64142409934362, -35.1680321382446
1.06076708777737, -1.68546720467001, -35.5206639075716
1.06426948161344, -1.70402265972964, -35.7010264482785
1.06947067529924, -1.74738370839616, -36.0509021088066
1.07461031495166, -1.78140215875794, -36.340794594333
1.07968984048093, -1.82737827733863, -36.6047985658445
1.08471064185598, -1.85732594356983, -36.9573301116312
1.08967406138753, -1.90218187784206, -37.3007344720825
1.09458139588228, -1.93887848326246, -37.5900041939977
1.09943389867669, -1.97699885273021, -37.891767678056
1.10423278155846, -2.0178200133275, -38.1935684517874
1.11054990358215, -2.07163475493802, -38.5911314537745
1.11522816585992, -2.11070108898683, -38.8924222985293
1.11985657004199, -2.15671678443486, -39.1710725979095
1.12443616764674, -2.19058614478453, -39.4670908408004
1.13046813241666, -2.24237614948795, -39.8515382539985
1.13493775487181, -2.28798323601011, -40.1445161112699
1.13936184557664, -2.32597604332835, -40.4282672420131
1.14519138923736, -2.38440651931998, -40.7763634422827
1.14951276302001, -2.42245864063241, -41.0664178946057
1.15520850999489, -2.46988606457005, -41.4232173172162
1.15943182835197, -2.51472870515704, -41.7113314026491
1.16499978259091, -2.56628028924888, -42.0639791046396
1.17049725450213, -2.61704383222831, -42.3306590965796
1.17457516692257, -2.66519048507063, -42.6439973884262
1.17995349549657, -2.71549525419513, -43.0140314086176
1.18526603246767, -2.77484444634626, -43.3382373392136
1.19051436802402, -2.82572437194846, -43.6966783425765
1.19440941190754, -2.87125703959844, -43.8800891290752
1.19954905155996, -2.92287852612162, -44.2456552051807
1.20462857708923, -2.9730406442278, -44.5904242348225
1.20964937846428, -3.02915570338641, -44.8917590831096
1.21461279799583, -3.07253860558422, -45.2392979611324
1.21952013249058, -3.12129583285213, -45.5202325594098
1.22557733642336, -3.19075612949225, -45.9202675479352
1.23036299897417, -3.24675299837212, -46.2295280027852
1.23509650067676, -3.30093266528494, -46.5205454720773
1.23977896632639, -3.35132510087029, -46.8147071394895
1.24556193435493, -3.41718203552627, -47.1671151227524
1.25013349742941, -3.45621578727999, -47.4718025867187
1.25465743918945, -3.51823696932573, -47.7239496420645
1.26024689191357, -3.57975701557088, -48.1409261741478
1.26466723014416, -3.62920806452731, -48.3975671360253
1.27013012584566, -3.70223516590944, -48.7035456826482
1.27552515773237, -3.76267371563563, -49.0887640616353
1.27979344252504, -3.81434379087279, -49.3410897383853
1.2850704756386, -3.87991454127116, -49.6823906133423
1.290284157484, -3.94448196506928, -49.9868970290583
1.29543599111043, -4.00622948666325, -50.3120861194985
1.29951390353087, -4.05631500589601, -50.5525974911747
1.30455803087107, -4.10693884857535, -50.8181198874514
1.3095442450218, -4.17735426523114, -51.1320690529553
1.31545310463232, -4.25061023495832, -51.4982159853118
1.32031647552102, -4.30833865715146, -51.7883018946151
1.3251259873748, -4.37286306773314, -52.1010463298095
1.32988282005496, -4.43545976570116, -52.394356481136
1.33458811507258, -4.49750388933332, -52.7260040006464
1.34016799245342, -4.55922334866774, -52.9966220468429
1.34476374414257, -4.62547777334644, -53.275939937778
1.35021521089153, -4.70273036548695, -53.6311419865941
1.35470640377999, -4.76397677962569, -53.9140589201936
1.36003523728506, -4.8245734111229, -54.1829569055251
1.36529947727742, -4.9019312720263, -54.5224885566289
1.36963811957363, -4.96385404767766, -54.8062431604112
1.37478791685446, -5.02024884688336, -55.0849213781622
1.37987736355889, -5.09694099259049, -55.3466777088305
1.38490785781722, -5.15794926035851, -55.6990704024473
1.38988074973025, -5.23651985504983, -55.951374839773
1.39479734354427, -5.29562996399217, -56.2561227262763
1.39965889970444, -5.37127584380359, -56.5076564105104
1.40526277722244, -5.44543273861975, -56.8751533024886
1.4100092122469, -5.51593325258725, -57.1051898421935
1.41470433345528, -5.58656088194394, -57.4472804228319
1.42011858233714, -5.65786051831053, -57.7181712383892
1.42470624276355, -5.72406714814983, -57.9941569812134
1.42999797293823, -5.80875471906455, -58.222101209529
1.43522600059988, -5.87893506654395, -58.5744569456585
1.43965761539896, -5.94811761884693, -58.7570566817486
1.44477131850611, -6.02044088582069, -59.0489728882527
1.44982550917017, -6.09571659704994, -59.3679298138568
1.45482155666326, -6.18475056953846, -59.6343280722605
1.45976078353782, -6.25291543279346, -59.829151210276
1.46533767534842, -6.33256583300771, -60.2140872916541
1.47015939239943, -6.40623984995868, -60.3891319432155
1.47492816403652, -6.4753403010367, -60.6966541423115
1.48031483131807, -6.56614469943503, -61.0193775187413
1.48497397389336, -6.64336025715289, -61.2387632056882
1.49023821388572, -6.71535007997794, -61.4440050825107
1.49479265468669, -6.78376347581745, -61.7411069523562
1.4999399087982, -6.87835386437986, -62.0039712787362
1.50502687157725, -6.94742589941065, -62.2570646240499
1.51005493910781, -7.03877754224195, -62.4730707785684
1.51502545953752, -7.10828788966109, -62.6809717493584
1.51993973524747, -7.18648438768627, -63.0187374665153
1.52479902490058, -7.26959986126511, -63.2598250471549
1.53020151383074, -7.35746145906122, -63.5106329437248
1.5349479488552, -7.43876961590242, -63.7047608178463
1.54022640726599, -7.52040248186069, -63.9139701498399
1.5448651107184, -7.58817866109326, -64.1209422214719
1.5500251058573, -7.67812838512238, -64.3718505115834
1.55512451256866, -7.76564765779643, -64.6096919785904
1.56016473720818, -7.8381073554355, -64.8599459269356
1.56514713772712, -7.92423585807425, -65.1473531538845
1.57007302586843, -8.00750863374521, -65.3695233803872
1.57494366923977, -8.09314046548286, -65.5932486402076
1.57976029327156, -8.16836473072353, -65.7938991263462
1.58505018183808, -8.25947060894848, -66.0298634574064
1.5897566100013, -8.3387688877958, -66.2295039455242
1.59492684346739, -8.42691066113542, -66.4539473001967
1.60003624924587, -8.51478011745817, -66.6773637120835
1.60508624198251, -8.60407207077881, -66.8768139782875
1.61007818754001, -8.68605784514691, -67.0995138150314
1.61501340521553, -8.76452759780067, -67.340758241673
1.61989316983361, -8.8475261721705, -67.5321072339471
1.62519833219451, -8.94175255333483, -67.7752316982166
1.62996560818555, -9.02121243601679, -67.906908050468
1.6351498686622, -9.11326055814528, -68.0972711587011
1.63980972540548, -9.19123191757689, -68.2988089565492
1.64487847185577, -9.28475222780528, -68.4842240203041
