Frequency Log(Hz), Gain (dB), Phase (deg)
1.99990217895395, 0.000631251562924807, -0.377739121615352
2.1000768217873, 0.000948063397634163, -0.474012548578899
2.20005968593025, 0.000344244343389079, -0.60012501946395
2.30002096077692, 0.00087959766653486, -0.754943184663419
2.39998107663457, -0.0014760558937833, -0.938969799955569
2.50000386498445, 0.00025798218863265, -1.19432868694549
2.59998545159895, -0.000712765320546367, -1.50210947340952
2.70000347479331, -0.00312515625537326, -1.88169185769648
2.80000942972812, -0.00800373502325834, -2.36773307477262
2.89999824459179, -0.0116976546934578, -2.97531663094763
3.00000330702098, -0.0179749070537807, -3.73738587553616
3.09999650842934, -0.0311529183398762, -4.71316152794074
3.19999588945832, -0.0492859840884757, -5.90053266799842
3.30000068984962, -0.0782245732022686, -7.421731763588
3.39999717920894, -0.121176083578735, -9.30744503861152
3.49999746978964, -0.187716602452673, -11.6502454578722
3.6000006915169, -0.300524600678705, -14.5127100832064
3.69999943970551, -0.462706972625812, -18.0378562203642
3.7999998142457, -0.706043591609016, -22.2576968385343
3.90000079057144, -1.0700053030007, -27.1818350007279
3.99999926235039, -1.58008481729819, -32.8085331474948
4.09999972124884, -2.28972460606752, -38.9087895769692
4.19999971751092, -3.21346890803133, -45.2601426414639
4.29999967627841, -4.34996065497899, -51.5147263322305
4.40000039965217, -5.71103873170241, -57.2513103604249
4.50000002787886, -7.24259798065367, -62.5460915332943
4.60000018352825, -8.90501385063009, -66.9969387182752
4.69999984321598, -10.6769320306269, -70.4507538972164
4.80000013476521, -12.5247698324581, -73.4354524622781
4.90000002677911, -14.4515010447391, -75.4944877723561
5.00000007128752, -16.4099033581811, -76.9699796266551
5.10000004252948, -18.4252849456835, -77.8225926655223
5.19999997271323, -20.4649202644218, -77.9426591357712
5.29999998035002, -22.5844601718145, -77.4262429801894
5.39999999709807, -24.795970209724, -76.0457322790731
5.50000002787886, -27.1442480895124, -73.6142614250559
5.59999998033263, -29.7557337085481, -69.2987346023025
5.70000000462006, -32.700000456819, -61.5424539305328
5.80000000655743, -36.0860659420075, -46.593123986576
5.90000000131934, -38.9583120396738, -15.8601477498604
5.99999999039388, -38.2878046126139, 24.228751830011
6.0999999943374, -35.0799069752247, 48.8694033195553
6.19999999823345, -31.950015970177, 60.832756656747
6.30000000062145, -29.2186997490123, 67.2738860055518
6.39999999709807, -26.7952795237265, 71.1649464401915
6.50000000229804, -24.5699377945387, 73.4316636414196
6.60000000065219, -22.4521059877265, 74.6574373225113
6.70000000058496, -20.4030399798333, 75.5614067983411
6.80000000014704, -18.4029325541261, 74.8236939549195
6.89999999877336, -16.4162722935919, 73.8640964858616
7.00000000050558, -14.4069657174973, 72.2663659164975
7.10000000076301, -12.3339636891636, 68.5736586866526
7.19999999950946, -10.8195286810072, 66.2656298411202
7.29999999960788, -8.70573094554771, 58.4317246277561
7.30102999566398, -8.79268116692683, 58.8709131083482
