Frequency Log(Hz), Gain (dB), Phase (deg)
1.99990217895395, -32.1653175465332, -86.260989523525
2.1000768217873, -34.1011971230054, -86.3438155280905
2.20005968593025, -36.0920987934838, -86.6911247041655
2.30002096077692, -38.3514162370502, -87.3882194324004
2.39998107663457, -39.9731426215149, -85.1665207099019
2.50000386498445, -41.9041180427881, -82.8445633289463
2.59998545159895, -43.9570543034001, -83.649204958874
2.70000347479331, -45.8512633948077, -81.9045933252489
2.80000942972812, -47.7087138827333, -81.0472189877094
2.89999824459179, -49.850062198676, -80.4458077902898
3.00000330702098, -51.7556188162595, -78.5640533570398
3.09999650842934, -53.2259231655815, -73.8503390765776
3.19999588945832, -55.3152521313492, -71.0240535493037
3.30000068984962, -57.2166545925903, -67.2075915911999
3.39999717920894, -58.7930522455251, -60.3806772521527
3.49999746978964, -60.3434041746773, -54.1403052493567
3.6000006915169, -61.2542205344508, -50.5767295058713
3.69999943970551, -62.720603373444, -42.5057276258133
3.7999998142457, -63.4533337915214, -38.5162480093747
3.90000079057144, -64.1718979246474, -32.749791712403
3.99999926235039, -64.67857492318, -26.8805034786178
4.09999972124884, -64.8649853327636, -21.6484627026825
4.19999971751092, -65.3716855222586, -17.8729027179207
4.29999967627841, -65.793259585611, -12.2198106415656
4.40000039965217, -65.717373816722, -6.58822224789165
4.50000002787886, -65.8192058667454, -8.64223878775391
4.60000018352825, -65.6166652146648, -5.25047183894247
4.69999984321598, -66.0198588444225, -2.39140346076605
4.80000013476521, -66.0795680869197, -1.73487066383583
4.90000002677911, -65.5916938274174, 4.02667794301415
5.00000007128752, -65.8553110475802, 4.26254250571483
5.10000004252948, -66.1104602684611, 8.89421409572883
5.19999997271323, -65.8668102058163, 11.4946662712461
5.29999998035002, -65.8413795502263, 15.1707913696337
5.39999999709807, -65.5627846496208, 19.0362447064613
5.50000002787886, -65.4209557329939, 23.8725811088525
5.59999998033263, -64.6532180002764, 31.0112387480244
5.70000000462006, -63.9699325551366, 36.1621574254937
5.80000000655743, -63.1810542631993, 42.2190196455764
5.90000000131934, -62.047063727413, 48.163701773829
5.99999999039388, -60.816877454399, 53.6274882564152
6.0999999943374, -59.4438087938489, 58.3653943764972
6.19999999823345, -57.911352642819, 62.4940663349313
6.30000000062145, -56.2807304485442, 66.4344304511264
6.39999999709807, -54.6484723113411, 69.7402396887759
6.50000000229804, -52.9207342760132, 72.5282725279399
6.60000000065219, -51.197449373666, 75.0229374228603
6.70000000058496, -49.4782509612426, 76.5771905176473
6.80000000014704, -47.4801527096753, 78.6212022091734
6.89999999877336, -45.581989097957, 80.1897841068459
7.00000000050558, -43.6822065421752, 81.2833062202957
7.10000000076301, -41.6891511670528, 82.160191563378
7.19999999950946, -39.747004843911, 82.249491907337
7.29999999960788, -37.3764517806466, 80.9956132409547
7.30102999566398, -37.4940248922359, 81.1637439460111
