#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,1000000.0,0.2000,-32.50,-5.10
2,1023293.0,0.2000,-32.73,-3.69
3,1047128.5,0.2000,-32.34,-5.63
4,1071519.3,0.2000,-32.27,-5.77
5,1096478.2,0.2000,-31.48,-7.07
6,1122018.5,0.2000,-31.66,-6.86
7,1148153.6,0.2000,-31.36,-6.86
8,1174897.6,0.2000,-30.74,-6.50
9,1202264.4,0.2000,-29.96,-4.04
10,1230268.8,0.2000,-29.34,-0.88
11,1258925.4,0.2000,-29.37,-0.92
12,1288249.6,0.2000,-29.93,-4.36
13,1318256.7,0.2000,-30.16,-4.75
14,1348962.9,0.2000,-30.82,-5.98
15,1380384.3,0.2000,-31.21,-5.80
16,1412537.5,0.2000,-31.28,-5.45
17,1445439.8,0.2000,-30.23,-3.87
18,1479108.4,0.2000,-29.53,-0.53
19,1513561.2,0.2000,-29.25,1.37
20,1548816.6,0.2000,-29.17,2.25
21,1584893.2,0.2000,-29.26,1.37
22,1621810.1,0.2000,-29.22,1.93
23,1659586.9,0.2000,-30.34,-3.30
24,1698243.7,0.2000,-32.52,-0.70
25,1737800.8,0.2000,-32.66,0.39
26,1778279.4,0.2000,-32.83,1.93
27,1819700.9,0.2000,-32.30,-0.86
28,1862087.1,0.2000,-32.30,-0.18
29,1905460.7,0.2000,-32.66,1.65
30,1949844.6,0.2000,-31.80,-1.76
31,1995262.3,0.2000,-31.80,-1.44
32,2041737.9,0.2000,-31.45,-1.87
33,2089296.1,0.2000,-31.52,-1.27
34,2137962.1,0.2000,-30.79,-1.41
35,2187761.6,0.2000,-29.61,2.11
36,2238721.1,0.2000,-29.02,6.19
37,2290867.7,0.2000,-28.83,9.00
38,2344228.8,0.2000,-28.79,10.02
39,2398832.9,0.2000,-28.75,10.72
40,2454708.9,0.2000,-28.71,11.43
41,2511886.4,0.2000,-28.71,11.95
42,2570395.8,0.2000,-28.71,12.66
43,2630268.0,0.2000,-28.67,13.07
44,2691534.8,0.2000,-28.63,13.54
45,2754228.7,0.2000,-28.62,13.76
46,2818382.9,0.2000,-28.59,13.89
47,2884031.5,0.2000,-28.59,14.02
48,2951209.2,0.2000,-28.60,13.68
49,3019951.7,0.2000,-28.59,13.04
50,3090295.4,0.2000,-28.67,12.10
51,3162277.7,0.2000,-28.71,11.07
52,3235936.6,0.2000,-28.74,10.58
53,3311311.2,0.2000,-28.65,11.07
54,3388441.6,0.2000,-28.40,13.36
55,3467368.5,0.2000,-28.09,14.91
56,3548133.9,0.2000,-26.95,15.73
57,3630780.5,0.2000,-29.53,16.70
58,3715352.3,0.2000,-28.71,16.17
59,3801894.0,0.2000,-28.16,17.15
60,3890451.4,0.2000,-28.67,18.28
61,3981071.7,0.2000,-28.55,19.01
62,4073802.8,0.2000,-28.52,19.69
63,4168693.8,0.2000,-28.44,20.21
64,4265795.2,0.2000,-28.44,20.74
65,4365158.3,0.2000,-28.40,21.10
66,4466835.9,0.2000,-28.32,21.62
67,4570881.9,0.2000,-28.28,22.32
68,4677351.4,0.2000,-28.23,22.50
69,4786300.9,0.2000,-28.20,22.85
70,4897788.2,0.2000,-28.20,23.20
71,5011872.3,0.2000,-28.16,23.17
72,5128613.8,0.2000,-28.13,23.38
73,5248074.6,0.2000,-28.11,22.85
74,5370318.0,0.2000,-28.16,22.50
75,5495408.7,0.2000,-28.13,22.28
76,5623413.3,0.2000,-28.18,21.89
77,5754399.4,0.2000,-28.19,21.62
78,5888436.6,0.2000,-28.20,21.68
79,6025595.9,0.2000,-28.18,22.15
80,6165950.0,0.2000,-28.20,22.26
81,6309573.4,0.2000,-28.17,22.50
82,6456542.3,0.2000,-28.13,23.03
83,6606934.5,0.2000,-28.06,23.55
84,6760829.8,0.2000,-28.05,23.89
85,6918309.7,0.2000,-28.01,24.37
86,7079457.8,0.2000,-28.02,24.57
87,7244359.6,0.2000,-28.09,24.08
88,7413102.4,0.2000,-28.20,23.88
89,7585775.8,0.2000,-28.72,22.50
90,7762471.2,0.2000,-29.53,22.54
91,7943282.3,0.2000,-30.38,24.58
92,8128305.2,0.2000,-30.74,26.66
93,8317637.7,0.2000,-30.80,27.88
94,8511380.4,0.2000,-30.12,26.02
95,8709635.9,0.2000,-28.98,25.44
96,8912509.4,0.2000,-28.61,26.37
97,9120108.4,0.2000,-28.13,27.96
98,9332543.0,0.2000,-28.01,28.65
99,9549925.9,0.2000,-26.72,38.96
100,9772372.2,0.2000,-26.60,39.55
101,10000000.0,0.2000,-26.50,40.40
