in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+04,-1.239E-02,-1.480E-03,2.500E+00
2.00E+00,1.023E+04,-1.276E-02,5.905E-03,2.500E+00
3.00E+00,1.047E+04,-1.181E-02,1.501E-02,2.500E+00
4.00E+00,1.072E+04,-1.206E-02,-1.976E-03,2.500E+00
5.00E+00,1.096E+04,-1.439E-02,-1.283E-02,2.500E+00
6.00E+00,1.122E+04,-1.218E-02,-1.353E-02,2.500E+00
7.00E+00,1.148E+04,-1.307E-02,3.204E-03,2.500E+00
8.00E+00,1.175E+04,-1.238E-02,9.518E-04,2.500E+00
9.00E+00,1.202E+04,-1.048E-02,-1.004E-02,2.500E+00
1.00E+01,1.230E+04,-1.022E-02,-3.441E-03,2.500E+00
1.10E+01,1.259E+04,-1.455E-02,-9.956E-04,2.500E+00
1.20E+01,1.288E+04,-1.180E-02,5.127E-03,2.500E+00
1.30E+01,1.318E+04,-1.114E-02,-4.513E-03,2.500E+00
1.40E+01,1.349E+04,-1.252E-02,-4.662E-03,2.500E+00
1.50E+01,1.380E+04,-9.063E-03,1.389E-03,2.500E+00
1.60E+01,1.413E+04,-1.147E-02,5.276E-03,2.500E+00
1.70E+01,1.445E+04,-9.474E-03,-5.791E-03,2.500E+00
1.80E+01,1.479E+04,-1.145E-02,2.106E-02,2.500E+00
1.90E+01,1.514E+04,-1.155E-02,-1.076E-02,2.500E+00
2.00E+01,1.549E+04,-1.085E-02,-1.501E-02,2.500E+00
2.10E+01,1.585E+04,-1.066E-02,3.201E-03,2.500E+00
2.20E+01,1.622E+04,-1.346E-02,5.745E-03,2.500E+00
2.30E+01,1.660E+04,-9.951E-03,-1.303E-02,2.500E+00
2.40E+01,1.698E+04,-1.051E-02,-1.015E-03,2.500E+00
2.50E+01,1.738E+04,-1.320E-02,3.025E-03,2.500E+00
2.60E+01,1.778E+04,-1.381E-02,-1.091E-02,2.500E+00
2.70E+01,1.820E+04,-1.375E-02,1.086E-02,2.500E+00
2.80E+01,1.862E+04,-9.935E-03,-1.186E-03,2.500E+00
2.90E+01,1.905E+04,-1.136E-02,-2.846E-03,2.500E+00
3.00E+01,1.950E+04,-1.377E-02,-7.561E-03,2.500E+00
3.10E+01,1.995E+04,-1.253E-02,-3.250E-03,2.500E+00
3.20E+01,2.042E+04,-1.092E-02,-3.220E-03,2.500E+00
3.30E+01,2.089E+04,-1.359E-02,3.044E-03,2.500E+00
3.40E+01,2.138E+04,-1.376E-02,-9.079E-04,2.500E+00
3.50E+01,2.188E+04,-1.410E-02,-9.537E-04,2.500E+00
